id,type,chapter,title,caption,source_kind,source_path,artifact_path,source_hash,artifact_hash,status,body_or_appendix,last_verified,notes
fig1_1,figure,1,Контур принятия продуктового решения,"Контур принятия продуктового решения (swimlane): слева — источники данных, справа — четыре шага работы аналитика (диагностика, прогноз, сценарии, рекомендации), решающий узел оценки надёжности и два исхода — итоговый вердикт «развивать / мониторить / закрывать» или возврат на уточнение данных.",custom,scripts/make_fig1_1.py,vkr/v2/artifacts/figures/fig1_1.pdf,4f7cece0d338170c,4d12fac678378dbb,frozen,body,2026-05-20,
fig1_2,figure,1,Диаграмма вариантов использования системы,"Границы разрабатываемого прототипа: входные данные по заданной схеме признаков → прототип системы → выходы (прогноз, интервалы, сценарии, рекомендации, вердикт) → пользователь. Условия переноса на новый продукт описаны в тексте главы.",custom,scripts/make_fig1_2.py,vkr/v2/artifacts/figures/fig1_2.pdf,8124ca59b53f4054,371d9353627746f0,frozen,body,2026-05-20,
tab1_1,table,1,Сравнение существующих инструментов и предлагаемой системы,"Сравнение существующих инструментов продуктовой аналитики и предлагаемой системы. Существующие инструменты дают описание текущего состояния, но не покрывают цепочку прогноз — сценарии — рекомендации — вердикт в едином воспроизводимом расчёте.",manual,scripts/make_ch1_tables.py,vkr/v2/artifacts/tables/tab1_1.tex,c38429715bf8eefc,19b61160f60957e3,frozen,body,2026-05-20,
tab1_2,table,1,Требования к разрабатываемой системе,"Требования к разрабатываемой системе: шесть функциональных (что система делает) и четыре нефункциональных (как и для кого). Каждое требование сопровождается обоснованием, чтобы было ясно, какую пользовательскую боль оно закрывает.",manual,scripts/make_ch1_tables.py,vkr/v2/artifacts/tables/tab1_2.tex,c38429715bf8eefc,421fc7a6b695a7ec,frozen,body,2026-05-20,
fig2_1,figure,2,Схема формирования итогового датасета из 4 источников,"Схема формирования итогового датасета: 4 независимых источника объединены в floodit_final.parquet (222 × 60). Firebase даёт 24 in-app признака + 4 служебных, итого по 4 источникам 60 колонок.",custom,scripts/make_fig2_1.py,vkr/v2/artifacts/figures/fig2_1.pdf,7c5908361dbad0e1,d53d5def44a38a98,frozen,body,2026-05-19,
fig2_2,figure,2,Две траектории продукта по ключевым метрикам,"Две траектории продукта по ключевым метрикам (DAU, stickiness, retention_d7): F1 — успех (4.9M установок), F2 — снят с публикации. 111 дней наблюдений на каждый продукт; DAU в логарифмической шкале.",parquet,data/processed/floodit_final.parquet,vkr/v2/artifacts/figures/fig2_2.pdf,838b202ab0f071fe,fd9f640b589f1c7c,frozen,body,2026-05-18,
fig2_3,figure,2,Покрытие данных / NaN-карта по группам признаков,"Покрытие данных по группам признаков (доля непустых значений) для F1 и F2 по дням наблюдений. Видна неравномерность: in-app и External блоки заполнены, Store-данные у F2 практически отсутствуют.",parquet,data/processed/floodit_final.parquet,vkr/v2/artifacts/figures/fig2_3.pdf,838b202ab0f071fe,e804c86f0e2b8fee,frozen,body,2026-05-18,
tab2_1,table,2,Источники данных и типы признаков,Источники данных и типы признаков (примеры). Полный перечень всех 60 колонок — в tab2_2.,manual,scripts/make_ch2_tables.py,vkr/v2/artifacts/tables/tab2_1.tex,2e3fc987062bc404,fec3d86e52de8e52,frozen,body,2026-05-19,
tab2_2,table,2,Группы признаков итогового датасета 222×60,Полный перечень 60 колонок по смысловым группам (M1/M2/M3 ablation hook),parquet,data/processed/floodit_final.parquet,vkr/v2/artifacts/tables/tab2_2.tex,838b202ab0f071fe,7aaf816d3e6df6a4,frozen,body,2026-05-19,
tab2_3,table,2,Сравнение Flood-It! и Flood-It! 2 как объектов,Сравнение Flood-It! и Flood-It! 2 как объектов исследования: исторический контекст и средние значения ключевых метрик за период наблюдений.,parquet,data/processed/floodit_final.parquet,vkr/v2/artifacts/tables/tab2_3.tex,838b202ab0f071fe,d291f78858e4d3bc,frozen,body,2026-05-18,
